Название;Состав;Цена
Пицца Чикен карри;Ветчина, грудка куриная, ананас, сыр моцарелла, соус томатный, соус карри;260
Пицца Деревенская с айдахо;Свинина, бекон, сыр моцарелла, помидор, шампиньоны, соус томатный, айдахо;320
Пицца Шашлычная со свининой;Свинина, огурец маринованный, лук красный, сыр моцарелла, соус сацебели, соус томатный;270
Пицца Шашлычная с курицей;Грудка куриная, огурец маринованный, лук красный, сыр моцарелла, соус сацебели, соус томатный;260
Пицца Фришка;Грудка куриная, сосиски, помидор, картофель фри, сыр моцарелла, соус томатный;270
Пицца Техас;Свинина, грудка куриная, перец болгарский, лук красный, кукуруза, цукини, сыр моцарелла, томатная сальса, соус томатный;270
Пицца Терияки;Грудка куриная, перец болгарский, сыр моцарелла, соус терияки, кунжут, соус томатный;250
Пицца Карибы;Лосось, брокколи, черри, орегано, сыр моцарелла, соус сырный;350
Пицца Везувий;Грудка куриная, бекон, пепперони, перец болгарский, сыр моцарелла, салат листовой, соус горчичный, соус томатный;310
Пицца 4 сыра;Сыр моцарелла, сыр чедер, сыр пармезан, сыр дор блю, орегано, соус томатный;320
Пицца Брекфест;Бекон, помидор, яйцо куриное, сыр пармезан, сыр моцарелла, соус сырный;290
Пицца Классика;Салями, шампиньоны, оливки, томат, сыр моцарелла, томатный соус;290
Пицца Ассорти;Салями, куриное отварное филе, томат, оливки, сыр моцарелла, томатный соус;290
Пицца Боярская;Салями, ветчина, шампиньоны, томат, оливки, сыр моцарелла, томатный соус;290
Пицца Великолепная четвёрка;Мясная жаренная начинка, бекон, ветчина, колбаски охотничьи, пепперони, шампиньоны, лук красный, томат, укроп, маринованные огурцы, сыр мацораелла, томатный соус;310
Пицца Дары моря;Креветки, мидии, кальмары, оливки, перец болгарский, сыр моцарелла, томатный соус;290
Пицца Жульен;Куриное филе, шампиньоны, красный лук, сливки, сыр моцарелла, томатный соус;380
Пицца Маргарита;Томат, сыр моцарелла, сыр пармезан, оливки, томатный соус;250
Пицца Особая;Ветчина, куриное отварное филе, шампиньоны, маринованные огурцы, оливки, перец болгарский, сыр моцарелла, томатный соус;290
Пицца Острая с креветками;Креветки, красный лук, томаты черри, соус Ширирача, сыр моцарелла, томатный соус;330
Пицца Пепперони;Пепперони, томаты черри, сыр моцарелла, томатный соус;280
Пицца Футбольная;Мясная жаренная начинка, бекон, пепперони, перец болгарский, зелень, сыр мацарелла, соус Ким чим, томатный соус;310
Пицца Дель песто;Куриное отварное филе, бекон, ветчина, томат, перец болгарский, сыр моцарелла, соус песто, томатный соус;290
Пицца Франциско;Куриное копчёное филе, бекон, опята маринованные, сыр моцарелла, лук красный, томатный соус;290
Пицца Шаверма;Куриное отварное филе, свежий огурец, томат, соус сливочный, сыр моцарелла, томатный соус;310
Пицца Хачапури;Сыр Брынза, сыр моцарелла, яйцо, соус сырный;270
Пицца Греческая;Томат, перец болгарский, лук красный, огурец свежий, салат Лето, сыр моцарелла, сыр Брынза, томатный соус;290
Пицца Бургер-пицца;Мясная жареная начинка, томат, перец болгарский, лук красный, кунжут, маринованные огурцы, сыр моцарелла, соус барбекю, томатный соус;280
Пицца Сырное Облако;Ветчина, куриное копчёное филе, шампиньоны, сыр моцарелла, соус сырный, томатный соус;280
Пицца Жар-пицца;Колбаски охотничьи, огурцы маринованные, томат, оливки, сыр моцарелла, томатный соус;290
Пицца Кальцоне;Ветчина, томат, сыр моцарелла, томатный соус;220
Пицца Мафия;Ветчина, пепперони, лук красный, перец чили, томат, сыр моцарелла, томатный соус;240
Пицца Барбекю;Ветчина, куриное копчёное филе, пепперони, колбаски копчённые, бекон, лук красный, сыр Моцарелла, соус Барбекю, пицца-соус.;290
