Название;Состав;Цена
Филадельфия;Лосось, сливочный сыр, огурец;339
Тунец-лосось;Лосось, тунец, сливочный сыр, омлет Тамаго, болгарский перец, огурец, соус Спайси, соус Унаги, лук фри, икра масаго;290
Краб-лосось;Лосось, сливочный сыр, семечки тыквенные, авокадо, огурец, снежный краб, соус Спайси, соус Унаги, икра масаго, зеленый лук;316
Цыпленок Криспи;Копченая курица, сливочный сыр, омлет Тамаго, томат, огурец, болгарский перец, соус розовый, лук фри, соус Унаги, кунжут;198
Филадельфия с креветкой;Тигровая креветка, сливочный сыр, огурец, соус розовый, соус Унаги, кунжут;298
Филадельфия Лайт;Лосось, сливочный сыр, огурец;239
Снэк;Копченая курица, сливочный сыр, омлет Тамаго, огурец, томат, кукурузные чипсы;247
Сливочный тунец;Тунец, сливочный сыр, соус Спайси, снежный краб, огурец, икра масаго, лук фри, кунжут;222
Вегетарианский;Огурец, Тофу, китайская капуста, болгарский перец, томат, морковь, тыквенные семечки;199
Калифорния с лососем;Лосось, сливочный сыр, огурец, авокадо, икра масаго;298
Калифорния;Снежный краб, икра масаго, сливочный сыр, огурец, кунжут;209
Филадельфия Роял;Лосось, снежный краб, икра масаго, апельсин, сливочный сыр, соус Унаги, кунжут;349
Филадельфия в угре;Угорь, сливочный сыр, огурец, соус Унаги, кунжут;379
Филадельфия микс;Лосось, угорь, сливочный сыр, огурец, соус Унаги, кунжут;367
Чикен спайс;Сливочный сыр, томат, салат чука, лук фрай, замес Чикен Спайс, зеленый лук, кунжут;208
Запеченная Калифорния;Снежный краб, сливочный сыр, сыр Моцарелла, огурец, икра масаго, соус Унаги, соус Спайси, соус сырный, соус розовый, кунжут;275
Угорь-краб;Угорь, сливочный сыр, омлет Тамаго, болгарский перец, огурец, снежный краб, соус розовый, соус Унаги, кунжут;308
Мидии-Чеддер;Мидии, сыр Чеддер, Тофу, чипсы Читос, огурец, томат, соус Унаги, салат Чука, красный лук, соус розовый, соус Спайси, кунжут;250
Опаленный с цыпленком;Копченая курица, икра масаго, огурец, томат, сливочный сыр, соус Унаги, лук фри, салат Чука, красный лук, соус розовый, соус Спайси;250
Запеченный под Моцареллой;Мидии, омлет Тамаго, огурец, снежный краб, сыр Моцарелла, соус Унаги, зеленый лук, салат Чука, красный лук, соус розовый, соус Спайси;250
Запечённый с креветкой;Тигровая креветка, снежный краб, сливочный сыр, омлет Тамаго, огурец, соус розовый, соус Унаги, соус Спайси, кунжут;270
Запеченный с крабом;Снежный краб, омлет Тамаго, огурец, сливочный сыр, икра масаго, сыр Моцарелла, соус Унаги, кунжут;227
Запеченный с лососем;Лосось, сливочный сыр, огурец, омлет Тамаго, икра масаго, розовый соус, соус Унаги, кунжут;324
Запеченный с курицей;Копченая курица, омлет Тамаго, сливочный сыр, розовый соус, соус Унаги, кунжут;205
Запеченный с мидиями;Мидии, омлет Тамаго, огурец, сливочный сыр, зеленый лук, розовый соус, соус Унаги, кунжут;222
Чикен Темпура;Копченая курица, сыр Чеддер, свежий томат, свежий огурец, сухари Панко, Розовый соус, Унаги соус;99
Темпура с лососем;Лосось, снежный краб, сливочный сыр, огурец, икра Масаго, соус Унаги, соус Спайси, темпура;287
Темпура с тунцом;Тунец, сливочный сыр, соус Спайси, салат Чука, огурец, соус Унаги, соус розовый, икра масаго, темпура;287
Темпура с креветкой;Тигровая креветка, сливочный сыр, томат, омлет Тамаго, лук фри, зеленый лук, соус Унаги, икра масаго, темпура, кунжут;287
Фаст Филадельфия;Лосось, огурец, сливочный сыр, икра масаго;209
Фаст Тунец-Краб;Тунец, сливочный сыр, соус Спайси, снежный краб, огурец, салат Чука, китайская капуста, соус розовый, соус Унаги, икра масаго, темпура;199
Фаст с креветкой;Креветка в темпуре, снежный краб, огурец, соус Спайси, соус Унаги, икра масаго;199
Мини-ролл с авокадо;Авокадо;119
Мини-ролл с лососем;Лосось;179
Мини-ролл с огурцом;Огурец, кунжут;99
Мини-ролл с Чукой;Салат Чука, соус ореховый, кунжут;99
