Название;Состав;Цена
Суши с лососем;Лосось;96
Суши с тигровой креветкой;Тигровая креветка;90
Суши с чукой;Салат чука, ореховый соус, кунжут;65
Суши с угрем;Угорь, соус Унаги, кунжут;94
Запеченные с лососем;Лосось, соус розовый, соус Унаги, кунжут;96
Запеченные с угрем;Угорь, соус розовый, соус Унаги, кунжут;92
Запеченные с тигровой креветкой;Тигровая креветка, соус розовый, соус Унаги, кунжут;92
Запеченные с тунцом;Тунец, сливочный сыр, соус Спайси, соус розовый, соус Унаги, кунжут;92
Острые с лососем;Лосось, соус Спайси;92
Острые с угрем;Угорь, соус Спайси;92
Острые с тигровой креветкой;Тигровая креветка, соус Спайси;92
Острые с тунцом;Тунец, сливочный сыр, соус Спайси;92
